source,organization,title,description
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","> Maximum use of organic manures for early seedling vigour along with RDF (N:P2Og:K2O)
> Recommend to resow with subsequent rains for better plant stand.
> When damage is Less than 30 percent then go for Gap filling in all upland crops
> When damage is More than 50 percent then go resowing in all upland crops
> Removing excess plants where are overcrowded, reduce crop stand to conserve soil moisture
> Water spraying during evening and early morning
> Soil nutrient & moisture conservation measures
> Avoid top dressing of Urea during dry spell and wait till downpour
> Go for in-situ moisture conservation
> One hand weeding followed by hoeing and simultaneous earthing up after 20 DAS is highly recommended in all upland crops."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A. Monsoon/Weather Situation:
 Normal onset followed by 15-20 days
 dry spell after sowing (Early Season
 Drought-Normal onset)","> Remarks on Implementation:
Awareness for Construction of rainwater harvesting structures for recycling of water during dry spell like DOVAS through SHG or on subsidized basis through State Govt. schemes.
Source:
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison"
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,2. Contingency measures for Field crops grown with residual moisture under rainfed condition,"Organization: ICAR
Labels: Optimal residual moisture, Land type- LOW LAND, Crop Management and Soil Conservation, Rice
Title: Contingency measures for Field crops grown with residual moisture under rainfed condition
Description:
- Cropping system: Rice-Wheat
- Crop name: Wheat
- Sowing Window: Wheat- 3rd week of November - 1st week of December
- Variety: Wheat (Rainfed)- C 306, K 8027, HDR 77, K 8962, HD 2643 (Ganga), (Irrigated)- HUW 234, K9107, PBW 373
- Agronomic management practices: Wheat - For surface seeding, increase seed rate and Nitrogenous fertilizer by 25%. Remove excess water by making deep furrow around fields. Planking should be done after seed placement for better germination and crop stands. Follow RDF, INM, and IPM. Pre-emergence weedicide application."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,2. Contingency measures for Field crops grown with residual moisture under rainfed condition,"Agronomic management practices for Forage crops:
- Oat: Use proper seed rate for a better crop stand. First and second cutting at 30 and 45 DAS, and third before flowering.
- Berseem: First cutting at 50 DAS, followed by second, third, and fourth cutting at intervals of 30-40 days.
- Lucern (similar to Berseem): First cutting at 50 DAS, with subsequent cuttings every 30 days. Follow RDF. Apply Lime, Boron, and Molybdenum micronutrients in addition to NPK for better yield.
- Japani Mustard: First cutting at 50 DAS during fruiting, with subsequent cuttings every 30 days. Follow RDF."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"CONTINGENCY PLAN FOR RABI - Maize-Toria cropping system involves several critical agronomic management practices. The sowing window for Toria is the 3rd to the 4th week of September. Recommended varieties include PT 203 and Panchali. Key practices include rainwater harvesting, recycling, and deepening water storage structures (shallow and deep) in April and May. Conduct deep summer ploughing, strengthen and raise field bunds during these months. Ensure proper seed placement and use the optimal seed rate with correct crop geometry for better crop stand. Application of lime or dolomite (3-5 q/ha) and soil application of sulfur (20 kg/ha) and boron (1 kg/ha) for oilseeds, pulses, and vegetables are advised. Foliar spray of Urea (2%) at flower initiation and pod formation stages is beneficial. Follow seed priming (warm water for 4-6 hours) and seed treatment with fungicide-insecticide-rhizobium."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"Further instructions include deep summer ploughing, irrigating only at critical stages, and using pre-emergence and post-emergence weedicides. Hand weeding followed by hoeing is recommended. Employ RDF (recommended dose of fertilizers), INM (integrated nutrient management), and IPM (integrated pest management). Increase water use efficiency using antitranspirants, reflectants, and mulches. Regularly monitor fields for disease and insect attacks, and use pheromone traps and attractants. Promote protected vegetable cultivation under naturally ventilated polyhouses and net houses. Zero tillage ensures proper seed placement for better germination, and one hand weeding followed by hoeing helps manage emergent weeds."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,CONTINGENCY PLAN FOR RABI,"Specifically for Toria, proper seed treatment and seed rate ensure an optimal crop stand. Thinning and weeding should occur at 30-35 days after sowing (DAS) followed by irrigation. Apply RDF, INM, and IPM strategies. Irrigate at three critical stages: 30-35 DAS, before flowering, and during capsule/pod formation. Apply a second dose of Urea before flowering. Manage pests like Painted Bug and Aphid, and diseases like Powdery Mildew effectively. This approach not only ensures better crop yields but also supports climate-resilient agriculture practices through efficient resource management."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation: 2
 Weeks Delay (Onset: 4th Week of June)
 - Early Season Drought","ICAR provides a contingency plan for a monsoon/weather situation with a 2-week delay (Early Season Drought) for the upland red sandy loam soils in Jharkhand, focusing on agricultural sustainability and rainfed crop management. The normal cropping system includes direct sown rice, maize, pigeonpea, maize + kudrum, pigeonpea + kudrum, greengram, and cowpea. In case of drought: discard rice as a sole crop. Suggested new crop systems include pigeonpea, maize, blackgram, soybean, sesame, turmeric intercrop, pigeonpea + blackgram (1:2), maize + cowpea (1:2), and pigeonpea + lady's finger (1:2). Recommended varieties: pigeonpea (Birsa Arhar, Narendra Arhar), maize (Birsa makka, HQPM 1, Shaktiman), blackgram (Birsa urd, PU 19/31, WBU 109, Uttara), soybean (R 518, JS 9752, Birsa soybean 1, JS 335), sesame (RT 346, Kanke safed, Krishna), turmeric (Rajendra sonia), cowpea (CP 4, Arka garima, Pusa komal, Pusa barsati, Swarn harit)."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation: 2
 Weeks Delay (Onset: 4th Week of June)
 - Early Season Drought","The agronomic measures for rainfed crop management in Jharkhand include summer deep ploughing, Dobha construction for rainwater conservation, line sowing in upland rice areas, zero tillage practices, and appropriate seed rates for sole and intercropping systems. RDF application is modified for intercropped fields, and specific weed control measures are provided for maize, pulses, and soybeans. Furrow and ridge methods are recommended for moisture conservation. Sulfur and phosphogypsum applications are advised for pulses and oilseeds. Vegetable nurseries should use carbofuran or neem cake. Seeds require treatment with fungicides/insecticides, and legumes need inoculation with Rhizobium and PSB. Vermicomposting, balanced fertilizer use, and organic manure are promoted for sustainability. Intercropping in mango, guava, ber, and beal orchards includes blackgram, chickpea, papaya, custard apple, and lemon with recommended varieties and spacing. Avoid creepers/climbers in orchards. Moringa is suggested for fodder or shelter belt purposes."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"C. Monsoon/Weather Situation: 6
 Weeks Delay (Onset: 6th Week of July) -
 Early Season Drought","ICAR suggests specific contingency measures for rice cultivation in the midland land rainfed loamy soils of Jharkhand, considering a 6-week delayed monsoon onset in late July. The normal cropping system includes rice, but alternative strategies are recommended for early season drought conditions. These strategies involve changing the crop or cropping system, replacing rice with medium-duration varieties like Sahbhagi Dhan, Abhishek, IR 64-Drt 1, BVD 111, and BVS 1 for direct seeding, or using hybrid varieties such as Arize Tej (Gold), PAC 801, PAC 807, and CR Dhan 40 for transplanting."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"C. Monsoon/Weather Situation: 6
 Weeks Delay (Onset: 6th Week of July) -
 Early Season Drought","For water-stressed conditions, ICAR advises adopting ridge and furrow methods or raised broad bed furrow systems along the slope. Farmers might replace rice with cereals, pulses, vegetables, or fodder crops. Suggested cereals and pulses include sorghum, pigeonpea, blackgram, sesame, maize, and lady's finger. Recommended vegetable crops are lady's finger, tomato, brinjal, cauliflower, chili, sweet potato, and radish. Fodder crops proposed include cowpea, sorghum, maize, rice bean, Sudan grass, thin Napier, kikuyu grass, pearl millet, blackgram, and greengram."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"C. Monsoon/Weather Situation: 6
 Weeks Delay (Onset: 6th Week of July) -
 Early Season Drought","Additional agronomic measures suggested by ICAR include staggered nursery raising using MAT/DAPOG methods, community-based nursery raising, and adherence to recommended dose fertilizers and integrated nutrient pest management. Key practices for rice variety management involve using early to mid-early duration varieties, employing specific nursery management techniques, correct spacing, and appropriate fertilizer dosages. Specific pest and disease management strategies include using Carbofuron for rice stem borer, Monocrotophos for gall midge, and others for various pests and diseases affecting rice and alternate crops."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation: 2
 Weeks Delay (Onset: 4th Week of June)
 - Early Season Drought","ICAR has developed agricultural adaptation strategies specifically for rice crop management in lowland rainfed clay soils. In the event of a 2-week delay in monsoon onset, resulting in early-season drought, the organization suggests discarding long-duration rice varieties (Swarna, BPT 5204, Rajshree) in favor of medium-duration varieties such as Don 2. Improved rice varieties like Shabhagi, IR 64-Drt 1, Abhishek (120 days), MTU 1001, and MTU 1010 are recommended for direct-seeded rice (DSR). For transplanting, hybrid varieties such as Arize 6444 (Gold), PHB 71, 25P25, 27P31, 27P36, and NK 15620 are suggested."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation: 2
 Weeks Delay (Onset: 4th Week of June)
 - Early Season Drought","Several agronomic measures are advised to mitigate the impact of early-season drought. These include staggered nursery raising using MAT/DAPOG methods, community-based nursery raising, and the use of recommended dosages of fertilizers and post-emergence weedicides. Agronomic specifics include using 1 kg N + 1kg P2O5 + 1 kg K2O for 100 m2 in nursery management, a seed rate of 80-100 kg/ha for improved rice varieties and 15 kg/ha for hybrids, and topdressing 10-15 days after sowing. Spacing guidelines are provided as well, along with detailed fertilizer dosages for both improved and hybrid rice varieties."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation: 2
 Weeks Delay (Onset: 4th Week of June)
 - Early Season Drought","Pest and disease management practices are crucial for maintaining crop health. Specific measures include using Carbofuron 3G for stem borer, Monocrotophos for gall midge, and Quinolphos 25 EC for gundhi bug, leaf folder, and BPH. For managing false smut, Propiconazole or Nativo sprays are recommended, while Beam or Tricyclazole can be used for blast. Additional suggestions cover awareness programs for MAT/DAPOG methods, supply of plastic drum seeders, and climate-smart agricultural practices promoted through Birsa Agricultural University and state agricultural departments. Emphasis is also placed on crop-weather insurance campaigns and facilitating linkages with various departments for timely updates and alerts."
JHARKHAND_2019_Dist_Agri_Contingency_Plans_Santhal_Divison,ICAR,"A Monsoon/Weather Situation:
 2 Weeks Delay (Onset: 4th Week of
 June) - Early Season Drought","For Midland rainfed loamy soils in early season drought due to delayed monsoon (4th Week of June), normal crop/cropping system recommended is Rice. Suggested contingency measures include changing the crop/cropping system: Direct Seeded Rice (DSR) with improved varieties like Sahbhagi Dhan, Abhishek, IR 64-Drt 1, BVD 111, and green/brown manuring with Dhaincha/Sunhemp. For transplanting, hybrid rice varieties such as 27P31, 25P25, PAC 801, PAC 807, CR Dhan 40 are recommended. Alternatively, ridge and furrow method or raised broad bed furrow can be used to replace rice with cereals (e.g., Maize, Sorghum), pulses (e.g., Pigeonpea + Lady's finger, Soybean, Finger millet), and vegetables (e.g., Radish, Lady's Finger, Cowpea, Dolichos bean)."
